#Tag,Name or Git url,Reason (should be a verb phrase to sound right while installing)
# Xorg
"",xorg-server,"is the graphical server."
"",xorg-xinit,"starts the graphical server."
"",xorg-xbacklight,"enables changing screen brightness levels."
# Rice rice baby!
"",xwallpaper,"sets the wallpaper."
"",i3-gaps,"is a window manager."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
"",zsh-autosuggestions,"is a plugin for zsh that suggests commands based on history"
"",zsh-history-substring-search,"is a plugin for zsh searches for a substring in the history"
A,zsh-z-git,"is a tool to quickly jump to frequently used directories"
A,arc-gtk-theme-git,"Theme used by gtk"
A,devicon-lookup-git,"is fase tool for getting the devicon for a file extension"
"",bat,"is like cat with syntax highlighting"
"",neofetch,"is a completely useless utility that shows your sytem info"
"",lightdm,"is a display manager"
"",lightdm-gtk-greeter,"is a greeter for lightdm"
"",polybar,"is for ricing the status bar"
"",i3blocks,"generates blocks used in the status line"
# Render
"",unclutter,"hides an inactive mouse."
"",picon,"is for transparency and removing screen-tearing."
"",arandr,"is a graphical frontend for xrandr"
# Fonts
"",noto-fonts-emoji,"is an emoji font."
A,nerd-fonts-hack,"is the font that has it all"
# Notifications
"",libnotify,"allows desktop notifications."
"",dunst,"is a suckless notification system."
# Audio
"",pulseaudio-alsa,"is a suckless notification system."
"",pulsemixer,"allows desktop notifications."
# File viewers
"",sxiv,"is a minimalist image viewer."
"",mpv,"is the patrician's choice video player."
"",zathura,"is a pdf viewer with vim-like bindings."
# Code
"",neovim,"is a tidier vim with some useful features"
"",alacritty,"is a GPU accelerated terminal"
"P",neovim,"is package manager for python"
"",ctags,"is an indexer for all programming languages(that matter)"
"",go,"is a programming language"
"",rust,"is a programming language"
"",nodejs,"is a JS runtime"
"",docker-compose,"is for running docker containers easily"
"",docker-openrc,"is for dem containers"
A,direnv,"is the best virtual environment manager ever created"
"",yarn,"is a pacakge manager for node"
# Utils
"",man-db,"lets you read man pages of programs."
"",maim,"lets you can take quick screenshots"
"",fzf,"is a fuzzy finder tool."
"",slock,"allows you to lock your computer and quickly unlock with your password."
"",xautolock,"allows locking of the computer after a period of inactivity"
"",xdotool,"allows performing window commands from the terminal"
A,lf-git,"is a terminal file manager that is fast and sane"
"",brave-bin,"is an elegant browser with built-in adblocking and tor and other features."
"",openssh-openrc,"is for running an ssh server using openrc"
"",borgmatic,"is a config utility for world's best backup tool no one knows about"
"",fcron-openrc,"allows running cron jobs"
"",sof-firmware,"is a firmware for sound in thinkpads"
"",brightnessctl,"is for setting screen brightness on laptops"
"",xdg-utils,"provides xdg-open that can be used for opening files"
A,networkmanager-dmenu-git,"is here because network managing from the cli sucks"
A,networkmanager-openvpn,"provides xdg-open that can be used for opening files"
# Unixy stuff
"",bat,"provides syntax highlighting in the terminal"
"",unzip,"is for unziping dem zips."
"",bc,"is a terminal calculator"
"",jq,"is the sed for json"
A,htop-vim-git,"is a graphical and colorful system monitor."
"",ripgrep,"is a very fast alternative for grep"
"",rsync,"is for moving files the right way"
"",xclip,"is for copying things from the command line"
A,lsyncd,"is for continuous rsync"
"",the_silver_searcher,"is a fast code search tool"
# GUIs
"",nm-connection-editor,"is an easy to use networkmanager GUI"
A,ripcord,"is a client for slack that doesn't make you suicidal"
"",rofi,"is a lauchner"
# Hardware drivers and IO
"",xf86-input-synaptics,"is for dem containers"
"",cups-openrc,"is for printer discovery"
"",ghostscript,"is needed by the printer drivers"
"",tlp-openrc,"is an automated power management utility"
